machine,vtg,crt,gas,res,date,lot,label
TM-PE NO.1 R3,24,167.6,23.8,0.143198091,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,24,164,23.5,0.146341463,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,24,159,23.4,0.150943396,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,24,155.6,23.3,0.154241645,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,24,158,23.3,0.151898734,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,24,158.3,23.3,0.151610865,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,24,158.6,23.3,0.151324086,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,24,163.6,23.3,0.146699267,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,161.3,23.3,0.142591445,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,162,23.3,0.141975309,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,165,23.3,0.139393939,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,160.6,23.3,0.143212951,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,22,167.3,23.3,0.131500299,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,22,167.3,23.3,0.131500299,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,163.6,23.3,0.140586797,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,160,23.3,0.14375,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,24,161.3,23.2,0.148791073,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,24,163,23.3,0.147239264,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,164,23.3,0.140243902,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,24,163,23.3,0.147239264,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,24,161.6,23.3,0.148514851,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,165.6,23.3,0.138888889,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,165,23.3,0.139393939,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,166.6,23.3,0.138055222,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,163.3,23.2,0.14084507,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,166.6,23.2,0.138055222,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,166.6,23.2,0.138055222,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,166.6,23.2,0.138055222,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,164,23.2,0.140243902,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,23,165,23.2,0.139393939,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,22,162.6,23.2,0.135301353,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,22,165,23.2,0.133333333,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,19,163.6,23.2,0.116136919,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,22,161.3,23.2,0.136391816,2023-10-17 14:32,SJQA146 1,
