label,zig,vtg,crt,gas
1,2,20,195.3,27.7
1,2,20,195.3,27.7
1,2,20,195.3,27.7
1,2,20,195.3,27.7
1,2,21,183.6,25.2
1,2,21,184.3,24.5
1,2,21,181.3,23.8
1,2,21,182.6,23.3
1,2,21,182.6,22.9
1,2,21,185,22.6
1,2,21,182.6,22.4
1,2,21,185.3,22.2
1,2,21,181,22
1,2,21,182.6,21.9
1,2,21,186.3,21.8
1,2,21,184,21.8
1,2,21,180,21.7
1,2,21,186.3,21.7
1,2,21,186.3,21.7
1,2,21,186.3,21.7
1,2,20,193.3,21.7
1,2,20,188,21.7
1,2,20,191.3,21.7
1,2,20,174,21.6
1,2,21,182,21.6
1,2,21,181.6,21.6
1,2,22,187.3,21.6
1,2,19,184.3,21.7
1,2,19,184.3,21.7
1,2,20,198.6,21.6
1,2,19,188,21.6
1,2,19,188,21.6
1,2,19,188,21.6
1,2,20,181.3,21.6
1,2,20,183,21.6
1,2,17,181.6,21.6
1,2,20,179.3,21.6
1,2,20,187,21.6
1,2,20,183.6,21.6
1,2,20,186,21.6
1,2,20,184.6,21.6
1,2,20,184,21.6
1,2,20,183.3,21.6
1,2,20,180,21.6
1,2,20,187,21.6
1,2,20,183.3,21.5
1,2,20,186,21.6
1,2,20,186,21.6
1,2,20,186,21.6
1,2,20,188,21.5
1,2,20,189.3,21.5
1,2,20,186.3,21.5
1,2,20,186,21.5
1,2,20,193,21.5
1,2,19,193.6,21.5
1,2,19,187.3,21.5
1,2,19,185,21.5
1,2,19,188,21.5
1,2,19,182,21.5
1,2,20,184.3,21.5
1,2,20,184.6,21.5
1,2,20,183.3,21.5
1,2,20,183.6,21.5
1,2,20,183.6,21.5
1,2,20,183.6,21.5
1,2,19,198,21.5
0,1,22,185.6,28.2
0,1,22,185.6,28.2
0,1,20,176.3,28.6
0,1,21,180.3,27.5
0,1,21,180.3,27.5
0,1,21,180.3,27.5
0,1,21,181,24.6
0,1,21,181.3,23.9
0,1,21,186.3,23.3
0,1,20,179.3,22.9
0,1,21,182,22.6
0,1,21,183.6,22.2
0,1,21,175,22
0,1,22,180,21.9
0,1,22,176.3,21.8
0,1,22,182.6,21.7
0,1,22,181.3,21.6
0,1,18,178.6,21.5
0,1,22,178.6,21.5
0,1,22,182.6,21.5
0,1,22,182.6,21.5
0,1,22,182.6,21.5
0,1,20,188,21.4
0,1,20,186.3,21.4
0,1,20,183.3,21.4
0,1,20,180,21.4
0,1,20,176.3,21.4
0,1,21,178.6,21.4
0,1,20,194.3,21.4
0,1,20,194.3,21.4
0,1,20,232.6,21.4
0,1,19,197.6,21.4
0,1,19,186.3,21.4
0,1,19,186.3,21.4
0,1,19,186.3,21.4
0,1,20,183.6,21.4
0,1,20,186.3,21.4
0,1,20,189.6,21.4
0,1,20,187.6,21.4
0,1,20,190.6,21.4
0,1,16,188,21.5
0,1,20,185.3,21.5
0,1,20,183,21.5
0,1,20,184.6,21.5
0,1,20,185.3,21.5
0,1,20,182.3,21.5
0,1,20,190.6,21.5
0,1,16,187.6,21.5
0,1,20,186.6,21.5
0,1,20,186.6,21.5
0,1,20,186.6,21.5
0,1,20,187.6,21.5
0,1,20,188,21.5
0,1,20,189.6,21.5
0,1,20,189.3,21.5
0,1,20,185.3,21.5
0,1,20,187.3,21.5
0,1,20,184.6,21.5
0,1,20,190.6,21.5
0,1,20,186,21.5
0,1,20,186.6,21.5
0,1,16,189.6,21.5
0,1,20,193.6,21.5
0,1,20,187.6,21.5
0,1,20,196.3,21.5
0,1,20,196.3,21.5
0,1,20,196.3,21.5
0,1,20,198.6,21.5
0,1,15,189,21.5
0,1,19,205,21.5
0,1,19,215.6,21.5
0,2,19,195.3,27.9
0,2,19,195.3,27.9
0,2,19,180,28.6
0,2,19,182,27.6
0,2,17,184.6,26.5
0,2,19,183,25.5
0,2,19,181.6,24.7
0,2,19,182,23.9
0,2,19,186,23.4
0,2,19,186,22.9
0,2,19,184,22.6
0,2,18,184,22.3
0,2,18,183.6,22.1
0,2,18,183.3,21.9
0,2,18,183.3,21.9
0,2,18,183.3,21.9
0,2,18,186.3,21.6
0,2,18,182.6,21.5
0,2,18,184.6,21.5
0,2,18,185,21.5
0,2,18,193.6,21.4
0,2,18,192,21.4
0,2,18,189.3,21.4
0,2,18,182.6,21.4
0,2,18,188,21.4
0,2,18,180,21.4
0,2,18,176.6,21.4
0,2,19,149.6,21.4
0,2,18,185.3,21.4
0,2,18,185.3,21.4
0,2,18,195,21.3
0,2,18,181.3,21.3
0,2,18,185.3,21.3
0,2,18,184,21.3
0,2,18,184.6,21.3
0,2,19,182,21.3
0,2,19,185,21.3
0,2,19,183,21.3
0,2,19,182,21.3
0,2,19,186,21.3
0,2,19,185.3,21.3
0,2,19,186.3,21.3
0,2,19,186.3,21.3
0,2,19,186.3,21.3
0,2,19,193,21.3
0,2,18,190.3,21.3
0,2,18,195,21.3
0,2,18,193.3,21.3
0,2,18,199,21.3
0,2,18,189.6,21.3
0,2,18,191,21.3
0,2,18,199,21.3
0,2,18,189.3,21.3
0,2,18,195.6,21.3
0,2,17,189.3,21.3
0,2,17,183,21.3
0,2,18,185.6,21.3
0,2,18,182.3,21.3
0,2,18,182.3,21.3
0,2,18,182.3,21.3
0,2,18,186,21.3
0,2,18,183.3,21.3
0,2,18,183.6,21.3
0,2,19,187,21.3
0,2,19,192.6,21.3
0,1,14,192.3,28.4
0,1,14,192.3,28.4
0,1,14,179.3,28.3
0,1,14,181.6,27.2
0,1,14,179.3,26.1
