label,num,date,vtg1,vtg2,vtg3,vtg4,vtg5,vtg6,vtg7,vtg8,vtg9,vtg10,crt1,crt2,crt3,crt4,crt5,crt6,crt7,crt8,crt9,
0,1,20230503,13.7,13.7,13.7,13.1,13.1,13.1,13.1,13.2,,,173.3,173.3,173.3,177.5,175.8,175.8,175.8,173.7,,
0,2,20230503,15.2,15.2,15.2,13.1,13.1,13.6,13.6,13.6,,,168.3,168.3,168.3,177.9,174.5,175,175,175,,
1,3,20230503,13.6,13.6,13.1,13,13.1,13.1,,,,,175.4,175.4,175,175.8,175.8,174.1,,,,
1,4,20230503,13.2,13.1,13.1,13.4,13.3,13.2,13.4,13.4,13.4,,173.3,174.5,173.7,173.7,173.7,175,130.8,130.8,130.8,
1,5,20230503,13.2,13.1,13.3,13.3,13.5,13.1,13.2,,,,173.3,174.5,172.9,173.3,175.4,175.4,155,,,
1,6,20230503,13.6,13.6,13.1,13.3,13.2,13.3,13.2,13.3,,,172.5,172.5,176.2,172.9,173.7,176.2,175.8,174.1,,
0,7,20230503,14.9,14.9,14.9,14.9,13.1,13.2,13.1,13.1,,,169.5,169.5,169.5,169.5,177.9,174.1,174.5,175.8,,
0,8,20230503,14.5,14.5,14.5,13.2,13.2,13.2,13.2,13.4,,,169.5,169.5,169.5,173.3,173.3,173.3,173.3,173.7,,
1,9,20230503,13,13.1,13.4,13.9,13.5,13.5,13.3,,,,174.1,175.8,175,175,176.6,176.2,138.7,,,
1,10,20230503,13.5,13.3,13.3,13.3,12.9,13.2,13.1,,,,174.1,174.5,174.5,174.5,176.2,174.1,177.9,,,
0,11,20230503,14,14,13.2,13.2,13.5,13.1,13.3,13.2,,,170.8,170.8,174.1,174.5,173.3,175.4,175.4,175.8,,
1,12,20230503,13.3,13.3,13.2,13.3,13.2,13.2,13.2,,,,174.1,174.1,174.1,173.7,175.4,175.4,175.4,,,
0,13,20230503,13.2,15.7,15.7,15.7,13.1,13.1,13.5,13.5,13.5,,175.4,168.3,168.3,168.3,174.5,175,174.1,174.1,174.1,
0,14,20230503,13.1,13.2,13.3,13.1,13.3,13.2,13.2,13.2,,,175,174.1,171.6,175.4,173.7,177,177,177,,
1,15,20230503,13.4,13.4,13.1,13.5,13.1,13.5,13.1,13.1,13.1,,177.5,177.5,173.7,177,175,174.1,161.6,161.6,161.6,
0,16,20230503,13.4,13.4,13.4,13.3,13.2,13.3,13.3,,,,173.7,173.7,173.7,173.3,177,175,173.3,,,
1,17,20230503,13.6,13.6,13.3,13.2,13.1,13.1,13.1,,,,177.5,177.5,173.7,173.7,175.4,177.5,123.7,,,
0,18,20230503,13.5,13.5,13.4,13.2,13.5,12.9,13.1,,,,173.7,173.7,173.7,174.5,174.1,176.2,173.3,,,
0,19,20230503,13.2,13.1,13.2,13,13.2,13.1,13.1,,,,173.3,176.2,175.4,173.3,176.6,173.3,135,,,
1,20,20230503,13.1,13.1,13.2,13.3,13.1,13.5,13.1,,,,178.3,174.5,174.1,177.5,173.3,176.2,131.6,,,
1,21,20230503,13.3,13.3,13.1,13,13.1,,,,,,173.7,173.7,173.3,174.1,176.2,,,,,
1,22,20230503,14.3,14.3,14.3,13.5,13.4,13.4,13.3,13.3,,,172.5,172.5,172.5,175.8,175,175.4,174.1,174.1,,
1,23,20230503,13.1,13.2,13.1,13.5,13.3,13.2,13,,,,176.2,177,174.1,174.1,173.7,175.4,122.9,,,
0,24,20230503,13.5,13.5,13,13,13.1,13.1,13.2,,,,174.5,174.5,176.2,171.2,172.5,176.6,175.4,,,
1,25,20230503,13.6,13,13.3,13.3,13.4,13.2,13,,,,175,177,177.9,173.7,177,173.3,174.1,,,
0,26,20230503,13.1,13.3,13.3,13.3,13.2,13.2,13.2,,,,174.1,174.1,176.6,172.5,173.3,174.1,129.5,,,
0,27,20230503,13.3,13.3,13.3,13.1,13.2,13.1,12.8,,,,176.2,176.2,175.4,177,173.3,172.9,170.8,,,
0,28,20230503,13.1,13.1,13.2,13.1,13.2,13.1,13.2,,,,174.1,177.5,177.9,175,175,177,174.1,,,
0,29,20230503,13.2,13.2,13.2,13.1,13.3,13.1,13.1,,,,176.6,176.6,176.2,173.3,176.2,174.1,177.9,,,
1,30,20230503,14.6,14.6,14.6,14.6,13.4,13.1,13.2,13.1,,,167,167,167,167,173.7,175.4,175,174.1,,
1,31,20230503,13.6,13.6,13.1,13.2,13.2,13.2,13.6,13.1,,,171.2,171.2,173.3,173.7,173.7,173.7,177,150.4,,
1,32,20230503,13.1,13.3,13.5,13.1,13.3,12.9,13,13,13,,174.5,174.5,176.6,174.5,174.1,174.5,171.2,171.2,171.2,
1,33,20230503,13.1,13.1,13.4,13.2,13.1,13.1,13.1,,,,174.1,175,173.3,176.6,174.5,174.5,174.5,,,
0,34,20230503,13.2,13.1,13.1,13.1,13.2,13.3,13.3,13.3,,,172.9,173.7,174.1,175.8,174.1,176.2,176.2,176.2,,
1,35,20230503,13.3,13.2,13,13,13.1,13,13,13,13,,174.5,177,174.1,173.7,175,175.4,170.4,170.4,170.4,
0,36,20230503,13.1,13.1,13.3,13.3,13.2,,,,,,171.2,171.2,175.4,174.1,138.3,,,,,
